Epoch 0/19----------Train Loss: tensor(4.7479, device='cuda:0')
Train Loss: tensor(6.6839, device='cuda:0')
Train Loss: tensor(6.3017, device='cuda:0')
Train Loss: tensor(5.3278, device='cuda:0')
Train Loss: tensor(4.9094, device='cuda:0')
Train Loss: tensor(5.2296, device='cuda:0')
Train Loss: tensor(4.2595, device='cuda:0')
train Loss: 5.8871 Prec: 0.2746EPOCH complete in 4m 18sval Loss: 6.0306 Prec: 0.2587EPOCH complete in 5m 10sEpoch 1/19----------Train Loss: tensor(4.4856, device='cuda:0')
Train Loss: tensor(5.0618, device='cuda:0')
Train Loss: tensor(5.9491, device='cuda:0')
Train Loss: tensor(5.3601, device='cuda:0')
Train Loss: tensor(5.1512, device='cuda:0')
Train Loss: tensor(5.9870, device='cuda:0')
Train Loss: tensor(5.7259, device='cuda:0')
Train Loss: tensor(6.1098, device='cuda:0')
Train Loss: tensor(5.7394, device='cuda:0')
Train Loss: tensor(5.6742, device='cuda:0')
Train Loss: tensor(5.6307, device='cuda:0')
Train Loss: tensor(6.2986, device='cuda:0')
Train Loss: tensor(6.1204, device='cuda:0')
Train Loss: tensor(6.0168, device='cuda:0')
Train Loss: tensor(5.6000, device='cuda:0')
Train Loss: tensor(6.2231, device='cuda:0')
Train Loss: tensor(5.8376, device='cuda:0')
Train Loss: tensor(5.6281, device='cuda:0')
Train Loss: tensor(5.9309, device='cuda:0')
Train Loss: tensor(6.0917, device='cuda:0')
Train Loss: tensor(6.3682, device='cuda:0')
Train Loss: tensor(5.4849, device='cuda:0')
Train Loss: tensor(6.1177, device='cuda:0')
Train Loss: tensor(5.4797, device='cuda:0')
Train Loss: tensor(5.7739, device='cuda:0')
Train Loss: tensor(5.8654, device='cuda:0')
Train Loss: tensor(5.7185, device='cuda:0')
Train Loss: tensor(5.6403, device='cuda:0')
Train Loss: tensor(5.5482, device='cuda:0')
Train Loss: tensor(5.5063, device='cuda:0')
Train Loss: tensor(5.4072, device='cuda:0')
Train Loss: tensor(5.6434, device='cuda:0')
Train Loss: tensor(5.0160, device='cuda:0')
Train Loss: tensor(5.4611, device='cuda:0')
Train Loss: tensor(6.0930, device='cuda:0')
Train Loss: tensor(6.8619, device='cuda:0')
Train Loss: tensor(6.6170, device='cuda:0')
Train Loss: tensor(5.5401, device='cuda:0')
Train Loss: tensor(6.5198, device='cuda:0')
Train Loss: tensor(6.1345, device='cuda:0')
Train Loss: tensor(6.0801, device='cuda:0')
Train Loss: tensor(5.5454, device='cuda:0')
Train Loss: tensor(5.5904, device='cuda:0')
Train Loss: tensor(5.2245, device='cuda:0')
Train Loss: tensor(5.9120, device='cuda:0')
Train Loss: tensor(5.8136, device='cuda:0')
Train Loss: tensor(5.4921, device='cuda:0')
Train Loss: tensor(6.5169, device='cuda:0')
Train Loss: tensor(6.1568, device='cuda:0')
Train Loss: tensor(5.1809, device='cuda:0')
Train Loss: tensor(4.7825, device='cuda:0')
Train Loss: tensor(5.0781, device='cuda:0')
Train Loss: tensor(4.0396, device='cuda:0')
train Loss: 5.7138 Prec: 0.2925EPOCH complete in 8m 31sval Loss: 5.9490 Prec: 0.2603EPOCH complete in 9m 25sEpoch 2/19----------Train Loss: tensor(4.3730, device='cuda:0')
Train Loss: tensor(4.9155, device='cuda:0')
Train Loss: tensor(5.8273, device='cuda:0')
Train Loss: tensor(5.2137, device='cuda:0')
Train Loss: tensor(5.0100, device='cuda:0')
Train Loss: tensor(5.8387, device='cuda:0')
Train Loss: tensor(5.5960, device='cuda:0')
Train Loss: tensor(5.9729, device='cuda:0')
Train Loss: tensor(5.5891, device='cuda:0')
Train Loss: tensor(5.5413, device='cuda:0')
Train Loss: tensor(5.4906, device='cuda:0')
Train Loss: tensor(6.1580, device='cuda:0')
Train Loss: tensor(5.9826, device='cuda:0')
Train Loss: tensor(5.8930, device='cuda:0')
Train Loss: tensor(5.4605, device='cuda:0')
Train Loss: tensor(6.0939, device='cuda:0')
Train Loss: tensor(5.7034, device='cuda:0')
Train Loss: tensor(5.5015, device='cuda:0')
Train Loss: tensor(5.7995, device='cuda:0')
Train Loss: tensor(5.9566, device='cuda:0')
Train Loss: tensor(6.2409, device='cuda:0')
Train Loss: tensor(5.3505, device='cuda:0')
Train Loss: tensor(5.9637, device='cuda:0')
Train Loss: tensor(5.3561, device='cuda:0')
Train Loss: tensor(5.6662, device='cuda:0')
Train Loss: tensor(5.7259, device='cuda:0')
Train Loss: tensor(5.5864, device='cuda:0')
Train Loss: tensor(5.5155, device='cuda:0')
Train Loss: tensor(5.4088, device='cuda:0')
Train Loss: tensor(5.3775, device='cuda:0')
Train Loss: tensor(5.2916, device='cuda:0')
Train Loss: tensor(5.5021, device='cuda:0')
Train Loss: tensor(4.8923, device='cuda:0')
Train Loss: tensor(5.3336, device='cuda:0')
Train Loss: tensor(5.9596, device='cuda:0')
Train Loss: tensor(6.7363, device='cuda:0')
Train Loss: tensor(6.4822, device='cuda:0')
Train Loss: tensor(5.4072, device='cuda:0')
Train Loss: tensor(6.3839, device='cuda:0')
Train Loss: tensor(5.9951, device='cuda:0')
Train Loss: tensor(5.9410, device='cuda:0')
Train Loss: tensor(5.4055, device='cuda:0')
Train Loss: tensor(5.4401, device='cuda:0')
Train Loss: tensor(5.0952, device='cuda:0')
Train Loss: tensor(5.7788, device='cuda:0')
Train Loss: tensor(5.6925, device='cuda:0')
Train Loss: tensor(5.3522, device='cuda:0')
Train Loss: tensor(6.3767, device='cuda:0')
Train Loss: tensor(6.0357, device='cuda:0')
Train Loss: tensor(5.0563, device='cuda:0')
Train Loss: tensor(4.6755, device='cuda:0')
Train Loss: tensor(4.9509, device='cuda:0')
Train Loss: tensor(3.8594, device='cuda:0')
train Loss: 5.5802 Prec: 0.3191EPOCH complete in 12m 48sval Loss: 5.8888 Prec: 0.2559EPOCH complete in 13m 39sEpoch 3/19----------Train Loss: tensor(4.2774, device='cuda:0')
Train Loss: tensor(4.7939, device='cuda:0')
Train Loss: tensor(5.7219, device='cuda:0')
Train Loss: tensor(5.0854, device='cuda:0')
Train Loss: tensor(4.8907, device='cuda:0')
Train Loss: tensor(5.7098, device='cuda:0')
Train Loss: tensor(5.4846, device='cuda:0')
Train Loss: tensor(5.8534, device='cuda:0')
Train Loss: tensor(5.4614, device='cuda:0')
Train Loss: tensor(5.4279, device='cuda:0')
Train Loss: tensor(5.3709, device='cuda:0')
Train Loss: tensor(6.0374, device='cuda:0')
Train Loss: tensor(5.8662, device='cuda:0')
Train Loss: tensor(5.7860, device='cuda:0')
Train Loss: tensor(5.3427, device='cuda:0')
Train Loss: tensor(5.9840, device='cuda:0')
Train Loss: tensor(5.5901, device='cuda:0')
Train Loss: tensor(5.3915, device='cuda:0')
Train Loss: tensor(5.6856, device='cuda:0')
Train Loss: tensor(5.8387, device='cuda:0')
Train Loss: tensor(6.1294, device='cuda:0')
Train Loss: tensor(5.2344, device='cuda:0')
Train Loss: tensor(5.8316, device='cuda:0')
Train Loss: tensor(5.2485, device='cuda:0')
Train Loss: tensor(5.5744, device='cuda:0')
Train Loss: tensor(5.6060, device='cuda:0')
Train Loss: tensor(5.4749, device='cuda:0')
Train Loss: tensor(5.4045, device='cuda:0')
Train Loss: tensor(5.2905, device='cuda:0')
Train Loss: tensor(5.2664, device='cuda:0')
Train Loss: tensor(5.1902, device='cuda:0')
Train Loss: tensor(5.3793, device='cuda:0')
Train Loss: tensor(4.7866, device='cuda:0')
Train Loss: tensor(5.2235, device='cuda:0')
Train Loss: tensor(5.8418, device='cuda:0')
Train Loss: tensor(6.6229, device='cuda:0')
Train Loss: tensor(6.3626, device='cuda:0')
Train Loss: tensor(5.2930, device='cuda:0')
Train Loss: tensor(6.2666, device='cuda:0')
Train Loss: tensor(5.8737, device='cuda:0')
Train Loss: tensor(5.8178, device='cuda:0')
Train Loss: tensor(5.2836, device='cuda:0')
Train Loss: tensor(5.3080, device='cuda:0')
Train Loss: tensor(4.9839, device='cuda:0')
Train Loss: tensor(5.6607, device='cuda:0')
Train Loss: tensor(5.5874, device='cuda:0')
Train Loss: tensor(5.2293, device='cuda:0')
Train Loss: tensor(6.2547, device='cuda:0')
Train Loss: tensor(5.9303, device='cuda:0')
Train Loss: tensor(4.9474, device='cuda:0')
Train Loss: tensor(4.5815, device='cuda:0')
Train Loss: tensor(4.8410, device='cuda:0')
Train Loss: tensor(3.7070, device='cuda:0')
train Loss: 5.4648 Prec: 0.3733EPOCH complete in 16m 60sval Loss: 5.8434 Prec: 0.2547EPOCH complete in 17m 52sEpoch 4/19----------Train Loss: tensor(4.1931, device='cuda:0')
Train Loss: tensor(4.6897, device='cuda:0')
Train Loss: tensor(5.6272, device='cuda:0')
Train Loss: tensor(4.9719, device='cuda:0')
Train Loss: tensor(4.7866, device='cuda:0')
Train Loss: tensor(5.5952, device='cuda:0')
Train Loss: tensor(5.3864, device='cuda:0')
Train Loss: tensor(5.7475, device='cuda:0')
Train Loss: tensor(5.3503, device='cuda:0')
Train Loss: tensor(5.3285, device='cuda:0')
Train Loss: tensor(5.2658, device='cuda:0')
Train Loss: tensor(5.9309, device='cuda:0')
Train Loss: tensor(5.7641, device='cuda:0')
Train Loss: tensor(5.6905, device='cuda:0')
Train Loss: tensor(5.2411, device='cuda:0')
Train Loss: tensor(5.8871, device='cuda:0')
Train Loss: tensor(5.4916, device='cuda:0')
Train Loss: tensor(5.2930, device='cuda:0')
Train Loss: tensor(5.5841, device='cuda:0')
Train Loss: tensor(5.7328, device='cuda:0')
Train Loss: tensor(6.0292, device='cuda:0')
Train Loss: tensor(5.1318, device='cuda:0')
Train Loss: tensor(5.7157, device='cuda:0')
Train Loss: tensor(5.1517, device='cuda:0')
Train Loss: tensor(5.4929, device='cuda:0')
Train Loss: tensor(5.5006, device='cuda:0')
Train Loss: tensor(5.3771, device='cuda:0')
Train Loss: tensor(5.3036, device='cuda:0')
Train Loss: tensor(5.1872, device='cuda:0')
Train Loss: tensor(5.1681, device='cuda:0')
Train Loss: tensor(5.0987, device='cuda:0')
Train Loss: tensor(5.2703, device='cuda:0')
Train Loss: tensor(4.6930, device='cuda:0')
Train Loss: tensor(5.1258, device='cuda:0')
Train Loss: tensor(5.7358, device='cuda:0')
Train Loss: tensor(6.5184, device='cuda:0')
Train Loss: tensor(6.2534, device='cuda:0')
Train Loss: tensor(5.1921, device='cuda:0')
Train Loss: tensor(6.1628, device='cuda:0')
Train Loss: tensor(5.7649, device='cuda:0')
Train Loss: tensor(5.7063, device='cuda:0')
Train Loss: tensor(5.1750, device='cuda:0')
Train Loss: tensor(5.1901, device='cuda:0')
Train Loss: tensor(4.8856, device='cuda:0')
Train Loss: tensor(5.5541, device='cuda:0')
Train Loss: tensor(5.4933, device='cuda:0')
Train Loss: tensor(5.1198, device='cuda:0')
Train Loss: tensor(6.1459, device='cuda:0')
Train Loss: tensor(5.8359, device='cuda:0')
Train Loss: tensor(4.8506, device='cuda:0')
Train Loss: tensor(4.4968, device='cuda:0')
Train Loss: tensor(4.7437, device='cuda:0')
Train Loss: tensor(3.5752, device='cuda:0')
train Loss: 5.3623 Prec: 0.3744EPOCH complete in 21m 16sval Loss: 5.8088 Prec: 0.2561EPOCH complete in 22m 8sEpoch 5/19----------Train Loss: tensor(4.1169, device='cuda:0')
Train Loss: tensor(4.5983, device='cuda:0')
Train Loss: tensor(5.5401, device='cuda:0')
Train Loss: tensor(4.8701, device='cuda:0')
Train Loss: tensor(4.6947, device='cuda:0')
Train Loss: tensor(5.4913, device='cuda:0')
Train Loss: tensor(5.2975, device='cuda:0')
Train Loss: tensor(5.6516, device='cuda:0')
Train Loss: tensor(5.2516, device='cuda:0')
Train Loss: tensor(5.2384, device='cuda:0')
Train Loss: tensor(5.1715, device='cuda:0')
Train Loss: tensor(5.8343, device='cuda:0')
Train Loss: tensor(5.6722, device='cuda:0')
Train Loss: tensor(5.6033, device='cuda:0')
Train Loss: tensor(5.1509, device='cuda:0')
Train Loss: tensor(5.7993, device='cuda:0')
Train Loss: tensor(5.4032, device='cuda:0')
Train Loss: tensor(5.2029, device='cuda:0')
Train Loss: tensor(5.4916, device='cuda:0')
Train Loss: tensor(5.6357, device='cuda:0')
Train Loss: tensor(5.9372, device='cuda:0')
Train Loss: tensor(5.0392, device='cuda:0')
Train Loss: tensor(5.6115, device='cuda:0')
Train Loss: tensor(5.0629, device='cuda:0')
Train Loss: tensor(5.4185, device='cuda:0')
Train Loss: tensor(5.4061, device='cuda:0')
Train Loss: tensor(5.2895, device='cuda:0')
Train Loss: tensor(5.2104, device='cuda:0')
Train Loss: tensor(5.0946, device='cuda:0')
Train Loss: tensor(5.0784, device='cuda:0')
Train Loss: tensor(5.0140, device='cuda:0')
Train Loss: tensor(5.1722, device='cuda:0')
Train Loss: tensor(4.6081, device='cuda:0')
Train Loss: tensor(5.0375, device='cuda:0')
Train Loss: tensor(5.6391, device='cuda:0')
Train Loss: tensor(6.4204, device='cuda:0')
Train Loss: tensor(6.1517, device='cuda:0')
Train Loss: tensor(5.1012, device='cuda:0')
Train Loss: tensor(6.0692, device='cuda:0')
Train Loss: tensor(5.6657, device='cuda:0')
Train Loss: tensor(5.6036, device='cuda:0')
Train Loss: tensor(5.0762, device='cuda:0')
Train Loss: tensor(5.0832, device='cuda:0')
Train Loss: tensor(4.7968, device='cuda:0')
Train Loss: tensor(5.4563, device='cuda:0')
Train Loss: tensor(5.4070, device='cuda:0')
Train Loss: tensor(5.0200, device='cuda:0')
Train Loss: tensor(6.0467, device='cuda:0')
Train Loss: tensor(5.7491, device='cuda:0')
Train Loss: tensor(4.7628, device='cuda:0')
Train Loss: tensor(4.4182, device='cuda:0')
Train Loss: tensor(4.6557, device='cuda:0')
Train Loss: tensor(3.4584, device='cuda:0')
train Loss: 5.2694 Prec: 0.3761EPOCH complete in 25m 29sval Loss: 5.7821 Prec: 0.2633EPOCH complete in 26m 21sEpoch 6/19----------Train Loss: tensor(4.0463, device='cuda:0')
Train Loss: tensor(4.5161, device='cuda:0')
Train Loss: tensor(5.4583, device='cuda:0')
Train Loss: tensor(4.7774, device='cuda:0')
Train Loss: tensor(4.6116, device='cuda:0')
Train Loss: tensor(5.3954, device='cuda:0')
Train Loss: tensor(5.2152, device='cuda:0')
Train Loss: tensor(5.5636, device='cuda:0')
Train Loss: tensor(5.1615, device='cuda:0')
Train Loss: tensor(5.1552, device='cuda:0')
Train Loss: tensor(5.0850, device='cuda:0')
Train Loss: tensor(5.7449, device='cuda:0')
Train Loss: tensor(5.5873, device='cuda:0')
Train Loss: tensor(5.5212, device='cuda:0')
Train Loss: tensor(5.0689, device='cuda:0')
Train Loss: tensor(5.7177, device='cuda:0')
Train Loss: tensor(5.3224, device='cuda:0')
Train Loss: tensor(5.1197, device='cuda:0')
Train Loss: tensor(5.4053, device='cuda:0')
Train Loss: tensor(5.5453, device='cuda:0')
Train Loss: tensor(5.8515, device='cuda:0')
Train Loss: tensor(4.9545, device='cuda:0')
Train Loss: tensor(5.5172, device='cuda:0')
Train Loss: tensor(4.9801, device='cuda:0')
Train Loss: tensor(5.3484, device='cuda:0')
Train Loss: tensor(5.3197, device='cuda:0')
Train Loss: tensor(5.2092, device='cuda:0')
Train Loss: tensor(5.1234, device='cuda:0')
Train Loss: tensor(5.0103, device='cuda:0')
Train Loss: tensor(4.9953, device='cuda:0')
Train Loss: tensor(4.9345, device='cuda:0')
Train Loss: tensor(5.0823, device='cuda:0')
Train Loss: tensor(4.5288, device='cuda:0')
Train Loss: tensor(4.9556, device='cuda:0')
Train Loss: tensor(5.5489, device='cuda:0')
Train Loss: tensor(6.3272, device='cuda:0')
Train Loss: tensor(6.0558, device='cuda:0')
Train Loss: tensor(5.0177, device='cuda:0')
Train Loss: tensor(5.9826, device='cuda:0')
Train Loss: tensor(5.5732, device='cuda:0')
Train Loss: tensor(5.5073, device='cuda:0')
Train Loss: tensor(4.9851, device='cuda:0')
Train Loss: tensor(4.9851, device='cuda:0')
Train Loss: tensor(4.7150, device='cuda:0')
Train Loss: tensor(5.3657, device='cuda:0')
Train Loss: tensor(5.3262, device='cuda:0')
Train Loss: tensor(4.9272, device='cuda:0')
Train Loss: tensor(5.9549, device='cuda:0')
Train Loss: tensor(5.6669, device='cuda:0')
Train Loss: tensor(4.6818, device='cuda:0')
Train Loss: tensor(4.3442, device='cuda:0')
Train Loss: tensor(4.5745, device='cuda:0')
Train Loss: tensor(3.3541, device='cuda:0')
train Loss: 5.1834 Prec: 0.3867EPOCH complete in 29m 43sval Loss: 5.7613 Prec: 0.2620EPOCH complete in 30m 36sEpoch 7/19----------Train Loss: tensor(3.9797, device='cuda:0')
Train Loss: tensor(4.4403, device='cuda:0')
Train Loss: tensor(5.3801, device='cuda:0')
Train Loss: tensor(4.6919, device='cuda:0')
Train Loss: tensor(4.5345, device='cuda:0')
Train Loss: tensor(5.3057, device='cuda:0')
Train Loss: tensor(5.1378, device='cuda:0')
Train Loss: tensor(5.4813, device='cuda:0')
Train Loss: tensor(5.0783, device='cuda:0')
Train Loss: tensor(5.0767, device='cuda:0')
Train Loss: tensor(5.0051, device='cuda:0')
Train Loss: tensor(5.6611, device='cuda:0')
Train Loss: tensor(5.5078, device='cuda:0')
Train Loss: tensor(5.4428, device='cuda:0')
Train Loss: tensor(4.9931, device='cuda:0')
Train Loss: tensor(5.6403, device='cuda:0')
Train Loss: tensor(5.2469, device='cuda:0')
Train Loss: tensor(5.0410, device='cuda:0')
Train Loss: tensor(5.3245, device='cuda:0')
Train Loss: tensor(5.4596, device='cuda:0')
Train Loss: tensor(5.7702, device='cuda:0')
Train Loss: tensor(4.8755, device='cuda:0')
Train Loss: tensor(5.4301, device='cuda:0')
Train Loss: tensor(4.9015, device='cuda:0')
Train Loss: tensor(5.2810, device='cuda:0')
Train Loss: tensor(5.2397, device='cuda:0')
Train Loss: tensor(5.1346, device='cuda:0')
Train Loss: tensor(5.0409, device='cuda:0')
Train Loss: tensor(4.9325, device='cuda:0')
Train Loss: tensor(4.9172, device='cuda:0')
Train Loss: tensor(4.8588, device='cuda:0')
Train Loss: tensor(4.9992, device='cuda:0')
Train Loss: tensor(4.4533, device='cuda:0')
Train Loss: tensor(4.8789, device='cuda:0')
Train Loss: tensor(5.4637, device='cuda:0')
Train Loss: tensor(6.2377, device='cuda:0')
Train Loss: tensor(5.9642, device='cuda:0')
Train Loss: tensor(4.9397, device='cuda:0')
Train Loss: tensor(5.9014, device='cuda:0')
Train Loss: tensor(5.4864, device='cuda:0')
Train Loss: tensor(5.4165, device='cuda:0')
Train Loss: tensor(4.8994, device='cuda:0')
Train Loss: tensor(4.8935, device='cuda:0')
Train Loss: tensor(4.6388, device='cuda:0')
Train Loss: tensor(5.2805, device='cuda:0')
Train Loss: tensor(5.2498, device='cuda:0')
Train Loss: tensor(4.8398, device='cuda:0')
Train Loss: tensor(5.8691, device='cuda:0')
Train Loss: tensor(5.5882, device='cuda:0')
Train Loss: tensor(4.6063, device='cuda:0')
Train Loss: tensor(4.2736, device='cuda:0')
Train Loss: tensor(4.4982, device='cuda:0')
Train Loss: tensor(3.2594, device='cuda:0')
train Loss: 5.1028 Prec: 0.3979EPOCH complete in 33m 58sval Loss: 5.7451 Prec: 0.2614EPOCH complete in 34m 50sEpoch 8/19----------Train Loss: tensor(3.9161, device='cuda:0')
Train Loss: tensor(4.3696, device='cuda:0')
Train Loss: tensor(5.3048, device='cuda:0')
Train Loss: tensor(4.6120, device='cuda:0')
Train Loss: tensor(4.4626, device='cuda:0')
Train Loss: tensor(5.2204, device='cuda:0')
Train Loss: tensor(5.0641, device='cuda:0')
Train Loss: tensor(5.4031, device='cuda:0')
Train Loss: tensor(5.0006, device='cuda:0')
Train Loss: tensor(5.0017, device='cuda:0')
Train Loss: tensor(4.9299, device='cuda:0')
Train Loss: tensor(5.5812, device='cuda:0')
Train Loss: tensor(5.4325, device='cuda:0')
Train Loss: tensor(5.3676, device='cuda:0')
Train Loss: tensor(4.9221, device='cuda:0')
Train Loss: tensor(5.5671, device='cuda:0')
Train Loss: tensor(5.1752, device='cuda:0')
Train Loss: tensor(4.9661, device='cuda:0')
Train Loss: tensor(5.2478, device='cuda:0')
Train Loss: tensor(5.3776, device='cuda:0')
Train Loss: tensor(5.6921, device='cuda:0')
Train Loss: tensor(4.8011, device='cuda:0')
Train Loss: tensor(5.3477, device='cuda:0')
Train Loss: tensor(4.8265, device='cuda:0')
Train Loss: tensor(5.2156, device='cuda:0')
Train Loss: tensor(5.1643, device='cuda:0')
Train Loss: tensor(5.0640, device='cuda:0')
Train Loss: tensor(4.9622, device='cuda:0')
Train Loss: tensor(4.8594, device='cuda:0')
Train Loss: tensor(4.8432, device='cuda:0')
Train Loss: tensor(4.7858, device='cuda:0')
Train Loss: tensor(4.9212, device='cuda:0')
Train Loss: tensor(4.3809, device='cuda:0')
Train Loss: tensor(4.8058, device='cuda:0')
Train Loss: tensor(5.3828, device='cuda:0')
Train Loss: tensor(6.1512, device='cuda:0')
Train Loss: tensor(5.8761, device='cuda:0')
Train Loss: tensor(4.8657, device='cuda:0')
Train Loss: tensor(5.8242, device='cuda:0')
Train Loss: tensor(5.4038, device='cuda:0')
Train Loss: tensor(5.3301, device='cuda:0')
Train Loss: tensor(4.8182, device='cuda:0')
Train Loss: tensor(4.8076, device='cuda:0')
Train Loss: tensor(4.5665, device='cuda:0')
Train Loss: tensor(5.1995, device='cuda:0')
Train Loss: tensor(5.1758, device='cuda:0')
Train Loss: tensor(4.7571, device='cuda:0')
Train Loss: tensor(5.7872, device='cuda:0')
Train Loss: tensor(5.5126, device='cuda:0')
Train Loss: tensor(4.5347, device='cuda:0')
Train Loss: tensor(4.2055, device='cuda:0')
Train Loss: tensor(4.4264, device='cuda:0')
Train Loss: tensor(3.1723, device='cuda:0')
train Loss: 5.0262 Prec: 0.4067EPOCH complete in 38m 11sval Loss: 5.7327 Prec: 0.2648EPOCH complete in 39m 3sEpoch 9/19----------Train Loss: tensor(3.8547, device='cuda:0')
Train Loss: tensor(4.3027, device='cuda:0')
Train Loss: tensor(5.2319, device='cuda:0')
Train Loss: tensor(4.5365, device='cuda:0')
Train Loss: tensor(4.3950, device='cuda:0')
Train Loss: tensor(5.1387, device='cuda:0')
Train Loss: tensor(4.9939, device='cuda:0')
Train Loss: tensor(5.3283, device='cuda:0')
Train Loss: tensor(4.9269, device='cuda:0')
Train Loss: tensor(4.9298, device='cuda:0')
Train Loss: tensor(4.8587, device='cuda:0')
Train Loss: tensor(5.5045, device='cuda:0')
Train Loss: tensor(5.3602, device='cuda:0')
Train Loss: tensor(5.2951, device='cuda:0')
Train Loss: tensor(4.8547, device='cuda:0')
Train Loss: tensor(5.4964, device='cuda:0')
Train Loss: tensor(5.1065, device='cuda:0')
Train Loss: tensor(4.8943, device='cuda:0')
Train Loss: tensor(5.1742, device='cuda:0')
Train Loss: tensor(5.2984, device='cuda:0')
Train Loss: tensor(5.6168, device='cuda:0')
Train Loss: tensor(4.7303, device='cuda:0')
Train Loss: tensor(5.2692, device='cuda:0')
Train Loss: tensor(4.7543, device='cuda:0')
Train Loss: tensor(5.1516, device='cuda:0')
Train Loss: tensor(5.0923, device='cuda:0')
Train Loss: tensor(4.9964, device='cuda:0')
Train Loss: tensor(4.8872, device='cuda:0')
Train Loss: tensor(4.7898, device='cuda:0')
Train Loss: tensor(4.7720, device='cuda:0')
Train Loss: tensor(4.7149, device='cuda:0')
Train Loss: tensor(4.8475, device='cuda:0')
Train Loss: tensor(4.3112, device='cuda:0')
Train Loss: tensor(4.7358, device='cuda:0')
Train Loss: tensor(5.3054, device='cuda:0')
Train Loss: tensor(6.0669, device='cuda:0')
Train Loss: tensor(5.7906, device='cuda:0')
Train Loss: tensor(4.7950, device='cuda:0')
Train Loss: tensor(5.7499, device='cuda:0')
Train Loss: tensor(5.3242, device='cuda:0')
Train Loss: tensor(5.2477, device='cuda:0')
Train Loss: tensor(4.7410, device='cuda:0')
Train Loss: tensor(4.7259, device='cuda:0')
Train Loss: tensor(4.4975, device='cuda:0')
Train Loss: tensor(5.1218, device='cuda:0')
Train Loss: tensor(5.1038, device='cuda:0')
Train Loss: tensor(4.6781, device='cuda:0')
Train Loss: tensor(5.7087, device='cuda:0')
Train Loss: tensor(5.4388, device='cuda:0')
Train Loss: tensor(4.4666, device='cuda:0')
Train Loss: tensor(4.1395, device='cuda:0')
Train Loss: tensor(4.3576, device='cuda:0')
Train Loss: tensor(3.0919, device='cuda:0')
train Loss: 4.9529 Prec: 0.4067EPOCH complete in 42m 24sval Loss: 5.7231 Prec: 0.2668EPOCH complete in 43m 15sEpoch 10/19----------Train Loss: tensor(3.7952, device='cuda:0')
Train Loss: tensor(4.2390, device='cuda:0')
Train Loss: tensor(5.1608, device='cuda:0')
Train Loss: tensor(4.4648, device='cuda:0')
Train Loss: tensor(4.3305, device='cuda:0')
Train Loss: tensor(5.0604, device='cuda:0')
Train Loss: tensor(4.9259, device='cuda:0')
Train Loss: tensor(5.2561, device='cuda:0')
Train Loss: tensor(4.8563, device='cuda:0')
Train Loss: tensor(4.8601, device='cuda:0')
Train Loss: tensor(4.7906, device='cuda:0')
Train Loss: tensor(5.4307, device='cuda:0')
Train Loss: tensor(5.2905, device='cuda:0')
Train Loss: tensor(5.2247, device='cuda:0')
Train Loss: tensor(4.7905, device='cuda:0')
Train Loss: tensor(5.4275, device='cuda:0')
Train Loss: tensor(5.0401, device='cuda:0')
Train Loss: tensor(4.8248, device='cuda:0')
Train Loss: tensor(5.1029, device='cuda:0')
